entry,en,fr,pt,es
catch_bycatch_help,"<h1>catch_bycatch_help</h1>
<p>catch_bycatch_help DEFAULT</p>
","<p>La présence en mer est vue au travers des déclarations de captures et de captures accessoires des flotilles portuguaises, espagnoles, françaises, irlandaises et britaniques. Pour le Portugal et l'Espagne, la localisation en mer a été estimée à partir des ports de débarquements. (RENVOI DELIVRABLE DiadAtSea)
Les status des populations en rivière sont extraits de la base de données Eurodiad 4.0 (Barber-O’Malley, B., Lassalle, G., Lambert, P. &amp; Quinton, E. (2022) Dataset on European diadromous species distributions from 1750 to present time in Europe, North Africa and the Middle East. Data in Brief 40, 107821, doi:10.1016/j.dib.2022.107821). Ils reposent sur des revues de la littérature scientifique et sur des validations des experts de ces espèces.</p>
","<h1>catch_bycatch_help</h1>
<p>catch_bycatch_help DEFAULT</p>
","<h1>catch_bycatch_help</h1>
<p>catch_bycatch_help DEFAULT</p>
"
choose_a_daterange_help,"<h1>choose_a_daterange_help</h1>
<p>choose_a_daterange_help DEFAULT</p>
","<p>Correspond à la période de simulation du modèle HyDiaD de distributions des espèces diadromes</p>
","<h1>choose_a_daterange_help</h1>
<p>choose_a_daterange_help DEFAULT</p>
","<h1>choose_a_daterange_help</h1>
<p>choose_a_daterange_help DEFAULT</p>
"
choose_a_scenario_help,"<h1>choose_a_scenario_help</h1>
<p>choose_a_scenario_help DEFAULT</p>
","<p>Les scénarios RCP (pour Representative Concentration Pathway) répresentent des trajectoires du forçage radiatif jusqu'à l'horizon 2300 pour les modèles climatiques. Ces scénarios ont été établis par le Groupe d'experts intergouvernemental sur l'évolution du climat. Ils sont utilisés dans les modèles climatiques pour prédire le climat futur de la terre. Le scénario rcp45 correspond à un forçage de +4,5 W/m2, le scénario rcp85 à +8,5 W/m2,3. Plus cette valeur est élevée, plus le système terre-atmosphère gagne en énergie et se réchauffe.</p>
","<h1>choose_a_scenario_help</h1>
<p>choose_a_scenario_help DEFAULT</p>
","<h1>choose_a_scenario_help</h1>
<p>choose_a_scenario_help DEFAULT</p>
"
conservation_status_help,"<h1>conservation_status_help</h1>
<p>conservation_status_help DEFAULT</p>
","<p>Les status IUCN des espèces sont extraits</p>
<ul>
<li>pour l'Europe : Brooks, Emma. European Red List of Freshwater Fishes. Luxembourg: Publications Office of the European Union, 2011. https://data.europa.eu/doi/10.2779/85903</li>
<li>pour le Portugal : Martins, Rogélia, et Miguel Carneiro. « MANUAL DE IDENTIFICAÇÃO DE PEIXES ÓSSEOS DA COSTA CONTINENTAL PORTUGUESA », 2018</li>
<li>pour l'Espage : www.uicn.es/web/pdf/Tablas_especies_informe_RedList_Spain.xlsx</li>
<li>pour la France : UICN Comité français, MNHN, SFI &amp; AFB. (2019) La Liste rouge des espèces menacées en France – Chapitre Poissons d’eau douce de France métropolitaine. Paris, France</li>
<li>pour l'Irlande : King, J.L., F. Marnell, N. Kingston, R. Rosell, P. Boylan, J.M. Caffrey, Ú., FitzPatrick, et al. « Ireland Red List No. 5: Amphibians, Reptiles &amp; Freshwater Fish. » National Parks and Wildlife Service, Department of Arts, Heritage and the Gaeltacht, 2011.</li>
</ul>
","<h1>conservation_status_help</h1>
<p>conservation_status_help DEFAULT</p>
","<h1>conservation_status_help</h1>
<p>conservation_status_help DEFAULT</p>
"
define_anthropo_help,"<h1>define_anthropo_help</h1>
<p>define_anthropo_help DEFAULT</p>
","<p>permet de définir un taux de mortalité par pays induit par les activités humaines et qui réduit le nombre de géniteurs avant la reproduction</p>
","<h1>define_anthropo_help</h1>
<p>define_anthropo_help DEFAULT</p>
","<h1>define_anthropo_help</h1>
<p>define_anthropo_help DEFAULT</p>
"
map_abundance_help,"<h1>map_abundance_help</h1>
<p>map_abundance_help DEFAULT</p>
","<p>Cette carte répresente les résultats du modèle HydiaD calibré pour l'espèce sélectionnée, l'année considérée. Il represente l'abandance résultant du changement climatique et de la dynamique spatialisée des populations sans de tenir compte des pressions anthropiques qui s'exercent sur les espèces. (RENVOI PUBLICATION DE BARBER et al)</p>
","<h1>map_abundance_help</h1>
<p>map_abundance_help DEFAULT</p>
","<h1>map_abundance_help</h1>
<p>map_abundance_help DEFAULT</p>
"
map_geometrie_help,"<h1>map_geometrie_help</h1>
<p>map_geometrie_help DEFAULT</p>
","<p>Choisir entre les divisions ou les rectangles du CIEM pour représenter les déclarations de captures.
A noter que les données espagnoles ne sont disponibles qu'aggrégées à l'échelle des divisions. (RENVOI DELIVRABLE DiadAtSea)</p>
","<h1>map_geometrie_help</h1>
<p>map_geometrie_help DEFAULT</p>
","<h1>map_geometrie_help</h1>
<p>map_geometrie_help DEFAULT</p>
"
plot_evolution_help,"<h1>plot_evolution_help</h1>
<p>plot_evolution_help DEFAULT</p>
","<p>Ce graphique presente l'évolution de l'indice de favorabilité et les abondances dans le bassin considéré. L'indice de favorabilité est le résultat  pour chaque espèce d'un modèle statitique (boosted regression tree) entre les présences /absences et les caractéristiques de l'environnement dans le bassin et à l'embouchire) en Europe pour le période 1900 -1910. Il renseigne sur la capacité d'accueil maximale par unité de surface de chaque bassin versant imposée par la conditions climatiques.
Les abondances sont simulées annuellement par le modèle HyDiaD en intégrant la capacité d'accueil imposé par les conditions climatiques, un processus de dispersion des généteurs (philopatrie et errance  entre bassins) et un processus de dynamique de populations (mortalité et relation stock-recrutement). Dans la version actuelle, aucune mortalité anthropique n'est considérée, les résultats présentés doivent donc être considérés comme un potentiel suite au changement climatique. (RENVOI PUBLICATION DE BARBER et al)</p>
","<h1>plot_evolution_help</h1>
<p>plot_evolution_help DEFAULT</p>
","<h1>plot_evolution_help</h1>
<p>plot_evolution_help DEFAULT</p>
"
prediction_map_abundance_help,"<h1>plot_evolution_help</h1>
<p>plot_evolution_help DEFAULT</p>
","<p>Cette carte répresente les résultats du modèle HyDiaD calibré pour l'espèce sélectionnée, l'année considérée. Il represente l'abondance résulant des contraintes imposées par le changement climatique et les  des pressions anthropiques telles que définies. (RENVOI PUBLICATION DE BARBER et al)</p>
","<h1>plot_evolution_help</h1>
<p>plot_evolution_help DEFAULT</p>
","<h1>plot_evolution_help</h1>
<p>plot_evolution_help DEFAULT</p>
"
prediction_plot_abundance_help,"<h1>prediction_plot_abundance_help</h1>
<p>prediction_plot_abundance_help DEFAULT</p>
","<p>Les abondances sont simulées annuellement par le modèle HyDiaD en intégrant la capacité d'accueil imposé par les conditions climatiques, un processus de dispersion des géniteurs (philopatrie et errance entre bassins) et un processus de dynamique de populations (mortalité et relation stock-recrutement) et les mortalités définies pour chaque pays qui s'appliquent avant la reproduction des géniteurs. (RENVOI PUBLICATION DE BARBER et al)</p>
","<h1>prediction_plot_abundance_help</h1>
<p>prediction_plot_abundance_help DEFAULT</p>
","<h1>prediction_plot_abundance_help</h1>
<p>prediction_plot_abundance_help DEFAULT</p>
"
